Comment,Designator,Footprint,LCSC Part #
1k,R1 R2 R3 R4,0402_RES,
4.7uF,C13,0402_CAP,
10k,R5 R6 R7 R8 R9 R10 R11 R12,0402_RES,
10nF,C1 C2,0402_CAP,
100k,R13 R14,0402_RES,
100nF,C3 C4 C5 C6 C7 C8 C9 C10 C11 C12,0402_CAP,
ADXL327,U1,LFCSP-16,
B3U-1000P,S1,B3U-1000P,
BLUE,D4,LED-0603,
DM3AT-SF-PEJM5,J17,DM3AT-SF-PEJM5,
GREEN,D3,LED-0603,
LSM9DS1TR,U2,LGA-24_3X3P5X1_STM,
MS5637-02BA03,U3,4-SMD,
OPT3004DNPR,U4,DNP0006A,
PTS645SM43SMTR92,S2 S3,PTS645,
RED,D2,LED-0603,
SI7021-A20-GM1,U5,DFN-6/3MM,
SIP32510,U6,TSOT23-6,
YELLOW,D5,LED-0603,
